flag,gender,education,house_val,age,online,customer_psy,occupation,mortgage,region,car_prob,fam_income
N,F,2. Some College,,5_<=55,Y,E,Blue Collar,1Low,Midwest,5,C
Y,M,2. Some College,19756,4_<=45,N,E,Sales/Service,1Low,West,3,E
Y,M,3. Bach,145515,4_<=45,Y,E,Professional,1Low,West,1,H
N,F,2. Some College,31134,2_<=25,N,G,Sales/Service,1Low,West,6,E
Y,M,2. Some College,89925,5_<=55,Y,F,Blue Collar,1Low,West,9,D
Y,F,3. Bach,255387,7_>65,Y,I,Professional,1Low,South,1,F
Y,F,4. Grad,111672,5_<=55,Y,B,Professional,3High,South,1,E
N,M,4. Grad,476733,7_>65,Y,B,Professional,1Low,Midwest,1,I
Y,M,,533664,1_Unk,N,B,Professional,3High,West,6,H
Y,M,3. Bach,,3_<=35,Y,G,Professional,1Low,West,8,A
N,F,4. Grad,13593,5_<=55,N,F,Sales/Service,1Low,Midwest,2,E
Y,M,1. HS,34866,6_<=65,N,C,Professional,3High,South,2,H
N,F,1. HS,,5_<=55,Y,J,Blue Collar,1Low,South,7,D
Y,M,2. Some College,326237,6_<=65,Y,E,Others,1Low,South,2,E
Y,M,3. Bach,,4_<=45,N,E,Others,1Low,South,8,F
N,M,1. HS,12514,7_>65,Y,J,Retired,1Low,South,7,E
Y,M,4. Grad,23812,3_<=35,Y,C,Professional,2Med,Midwest,1,F
Y,F,4. Grad,33381,6_<=65,Y,B,Professional,1Low,South,1,H
N,U,3. Bach,28292,1_Unk,N,G,Professional,1Low,Midwest,8,K
N,M,. <HS,,1_Unk,N,A,Blue Collar,1Low,South,7,D
Y,F,4. Grad,555464,3_<=35,Y,B,Professional,3High,West,2,I
N,M,1. HS,59644,3_<=35,N,D,Blue Collar,1Low,South,8,A
Y,M,4. Grad,1856444,5_<=55,Y,C,Professional,1Low,West,6,K
N,F,1. HS,2664,1_Unk,Y,B,Others,2Med,West,5,D
N,M,. <HS,25683,3_<=35,N,J,Sales/Service,2Med,South,1,D
N,M,2. Some College,,1_Unk,Y,E,Professional,1Low,Midwest,5,C
N,M,. <HS,36346,7_>65,Y,B,Sales/Service,1Low,South,2,D
Y,M,4. Grad,455729,4_<=45,Y,C,Professional,1Low,South,1,J
N,M,2. Some College,,1_Unk,N,A,Professional,1Low,South,8,E
Y,M,3. Bach,898814,4_<=45,Y,C,Professional,3High,West,1,F
Y,M,3. Bach,8956,4_<=45,Y,A,Sales/Service,1Low,Midwest,1,A
N,F,2. Some College,24363,3_<=35,Y,D,Sales/Service,1Low,South,4,G
N,U,2. Some College,23956,1_Unk,N,A,Professional,2Med,West,2,E
Y,M,1. HS,222212,1_Unk,Y,E,Others,2Med,Northeast,3,G
N,M,1. HS,131563,4_<=45,Y,E,Blue Collar,1Low,Midwest,1,E
N,F,2. Some College,17334,7_>65,Y,D,Sales/Service,1Low,South,2,E
Y,F,1. HS,129372,2_<=25,Y,E,Sales/Service,1Low,Northeast,4,F
N,M,1. HS,,5_<=55,N,U,Professional,1Low,Midwest,,U
N,M,2. Some College,154453,1_Unk,Y,F,Professional,1Low,West,2,F
N,M,2. Some College,,3_<=35,N,G,Sales/Service,1Low,West,3,B
Y,M,3. Bach,1853,4_<=45,Y,C,Blue Collar,2Med,Midwest,1,G
Y,M,2. Some College,196867,6_<=65,Y,B,Professional,2Med,Northeast,1,H
N,U,. <HS,52141,7_>65,Y,B,Retired,1Low,South,1,J
Y,F,4. Grad,22345,6_<=65,Y,B,Professional,1Low,Midwest,1,G
N,M,2. Some College,,1_Unk,N,F,Blue Collar,1Low,South,9,C
N,M,2. Some College,2616,4_<=45,N,A,Professional,1Low,South,1,E
N,F,1. HS,144664,5_<=55,Y,E,Professional,1Low,Midwest,5,H
Y,M,3. Bach,56184,6_<=65,Y,B,Professional,1Low,Northeast,1,F
Y,F,3. Bach,33543,1_Unk,Y,C,Sales/Service,1Low,West,6,K
N,F,3. Bach,4122,7_>65,Y,D,Retired,1Low,West,3,C
Y,M,4. Grad,558494,6_<=65,Y,B,Professional,1Low,South,1,L
Y,F,3. Bach,151467,3_<=35,Y,C,Sales/Service,1Low,South,3,E
Y,M,2. Some College,1256225,1_Unk,Y,B,Sales/Service,3High,West,1,L
Y,M,2. Some College,1744,2_<=25,Y,B,Sales/Service,1Low,Midwest,2,F
N,F,. <HS,,3_<=35,N,E,Sales/Service,1Low,West,9,A
N,F,. <HS,,1_Unk,N,G,Sales/Service,1Low,West,9,C
Y,F,1. HS,16275,5_<=55,Y,F,Blue Collar,1Low,Northeast,3,F
Y,M,3. Bach,,6_<=65,N,E,Professional,1Low,Midwest,9,D
Y,F,3. Bach,428697,5_<=55,Y,C,Professional,1Low,West,2,J
Y,M,3. Bach,5397,6_<=65,Y,B,Professional,3High,South,3,H
N,F,1. HS,67667,1_Unk,N,E,Sales/Service,1Low,Midwest,9,B
N,M,1. HS,3319,2_<=25,Y,F,Others,1Low,South,6,G
N,M,. <HS,,1_Unk,N,G,Sales/Service,1Low,South,9,F
N,F,2. Some College,45344,7_>65,Y,I,Sales/Service,1Low,South,6,A
N,F,. <HS,16959,1_Unk,Y,F,Sales/Service,2Med,Northeast,8,F
Y,M,4. Grad,1853,5_<=55,Y,C,Professional,1Low,Midwest,3,I
Y,M,1. HS,37496,5_<=55,N,E,Sales/Service,2Med,Northeast,1,E
N,M,2. Some College,11988,2_<=25,Y,I,Farm,1Low,Midwest,4,G
Y,M,4. Grad,2249,3_<=35,Y,A,Sales/Service,2Med,Northeast,2,A
Y,M,2. Some College,323435,5_<=55,Y,C,Professional,1Low,South,1,F
N,M,2. Some College,,4_<=45,Y,A,Blue Collar,1Low,West,6,F
N,F,2. Some College,17229,6_<=65,N,D,Professional,1Low,South,1,E
N,M,3. Bach,16797,3_<=35,N,B,Blue Collar,1Low,Northeast,5,F
Y,M,4. Grad,27372,3_<=35,Y,B,Professional,1Low,Northeast,1,F
N,M,. <HS,79861,6_<=65,Y,C,Retired,1Low,West,1,L
N,U,2. Some College,271846,1_Unk,Y,D,Sales/Service,1Low,South,1,H
Y,M,3. Bach,43816,5_<=55,Y,B,Professional,1Low,Northeast,1,J
N,M,2. Some College,158366,4_<=45,N,E,Blue Collar,1Low,Midwest,6,C
Y,F,1. HS,4439,6_<=65,Y,B,Sales/Service,1Low,Midwest,2,E
Y,F,1. HS,384552,5_<=55,Y,C,Professional,1Low,South,1,G
Y,M,3. Bach,1428,4_<=45,Y,D,Professional,1Low,Midwest,1,G
N,M,4. Grad,35432,5_<=55,Y,D,Blue Collar,2Med,South,1,C
N,F,3. Bach,15382,3_<=35,N,C,Professional,1Low,South,3,E
N,F,1. HS,,2_<=25,N,G,Sales/Service,1Low,West,3,D
N,F,2. Some College,261491,5_<=55,N,H,Sales/Service,1Low,West,6,E
Y,F,1. HS,,5_<=55,Y,F,Sales/Service,1Low,South,2,C
N,M,. <HS,54936,5_<=55,N,F,Blue Collar,3High,West,2,D
Y,M,4. Grad,5123,3_<=35,Y,C,Professional,3High,West,1,F
N,M,2. Some College,166116,3_<=35,Y,C,Sales/Service,1Low,Midwest,3,E
N,F,3. Bach,298551,6_<=65,Y,I,Professional,3High,South,2,A
N,F,4. Grad,776265,4_<=45,Y,C,Professional,1Low,Northeast,1,J
N,M,. <HS,174,4_<=45,N,G,Blue Collar,2Med,West,7,B
Y,M,1. HS,276347,3_<=35,Y,F,Blue Collar,1Low,South,3,E
Y,M,2. Some College,119389,4_<=45,Y,C,Professional,1Low,South,1,H
Y,M,2. Some College,575356,2_<=25,N,C,Professional,2Med,West,3,G
Y,M,4. Grad,282582,1_Unk,Y,B,Sales/Service,1Low,Midwest,3,G
Y,F,1. HS,11376,1_Unk,Y,F,Others,1Low,Midwest,3,E
N,F,1. HS,258918,7_>65,Y,E,Retired,1Low,South,2,E
N,M,3. Bach,91233,4_<=45,Y,J,Blue Collar,1Low,Midwest,5,D
Y,M,,,1_Unk,Y,E,Professional,1Low,Northeast,2,G
Y,F,3. Bach,36944,6_<=65,Y,B,Professional,2Med,South,2,F
Y,M,4. Grad,352,3_<=35,N,E,Blue Collar,3High,Northeast,3,E
N,F,2. Some College,,3_<=35,Y,G,Sales/Service,1Low,West,5,A
N,F,2. Some College,438915,7_>65,N,D,Retired,1Low,South,2,A
N,F,1. HS,,4_<=45,N,F,Others,1Low,South,8,F
N,F,. <HS,,1_Unk,N,G,Retired,1Low,South,9,B
N,M,3. Bach,342129,3_<=35,Y,E,Blue Collar,1Low,Northeast,3,D
N,M,2. Some College,38628,4_<=45,N,C,Blue Collar,1Low,Midwest,1,G
N,M,4. Grad,238928,7_>65,Y,B,Retired,1Low,Midwest,2,G
Y,F,. <HS,56898,4_<=45,Y,B,Professional,3High,Midwest,1,I
N,F,3. Bach,21582,4_<=45,Y,B,Blue Collar,1Low,South,4,F
Y,F,3. Bach,496386,3_<=35,Y,B,Sales/Service,1Low,South,1,E
Y,M,2. Some College,95462,5_<=55,N,F,Professional,1Low,Midwest,8,C
Y,M,3. Bach,417644,6_<=65,Y,B,Sales/Service,2Med,Northeast,1,K
N,M,2. Some College,28315,4_<=45,N,E,Blue Collar,1Low,South,3,G
Y,F,2. Some College,155325,1_Unk,Y,F,Sales/Service,1Low,Midwest,7,D
N,M,1. HS,8393,5_<=55,N,I,Others,1Low,Midwest,7,E
N,M,1. HS,414799,5_<=55,N,E,Blue Collar,1Low,Midwest,2,B
Y,M,3. Bach,25288,4_<=45,Y,G,Blue Collar,1Low,West,5,H
N,M,1. HS,,7_>65,N,D,Retired,1Low,Northeast,2,H
Y,M,1. HS,,1_Unk,N,G,Sales/Service,1Low,Midwest,9,C
Y,F,. <HS,221815,5_<=55,Y,E,Professional,2Med,South,1,F
Y,F,3. Bach,2759,5_<=55,Y,C,Professional,1Low,West,3,E
N,F,1. HS,11322,7_>65,Y,B,Retired,1Low,South,2,G
N,F,1. HS,113932,3_<=35,Y,E,Sales/Service,1Low,Midwest,5,D
Y,F,4. Grad,11722,6_<=65,Y,E,Retired,1Low,South,3,E
N,U,4. Grad,177125,1_Unk,N,F,Sales/Service,2Med,West,7,G
N,F,4. Grad,,3_<=35,N,F,Others,1Low,Midwest,4,E
Y,F,3. Bach,29933,2_<=25,Y,C,Professional,3High,South,1,G
Y,M,. <HS,164548,3_<=35,N,B,Sales/Service,3High,West,1,L
N,F,2. Some College,5995,2_<=25,Y,B,Blue Collar,3High,West,1,F
N,M,. <HS,174356,6_<=65,N,E,Others,1Low,South,2,D
N,M,4. Grad,15318,3_<=35,Y,E,Others,1Low,West,8,E
N,F,1. HS,,5_<=55,N,D,Others,1Low,West,7,D
Y,M,1. HS,19772,6_<=65,Y,F,Sales/Service,2Med,West,7,F
N,F,2. Some College,15976,5_<=55,Y,D,Professional,1Low,South,3,B
N,F,1. HS,321942,5_<=55,Y,F,Sales/Service,1Low,Northeast,3,D
Y,M,4. Grad,548379,5_<=55,Y,B,Professional,1Low,Midwest,2,J
Y,M,4. Grad,196137,3_<=35,Y,C,Blue Collar,3High,Midwest,1,G
N,F,1. HS,,1_Unk,Y,C,Sales/Service,1Low,West,9,E
Y,M,2. Some College,,6_<=65,Y,E,Professional,1Low,Northeast,3,B
N,F,. <HS,2385,7_>65,Y,G,Retired,1Low,Northeast,4,D
N,M,2. Some College,,5_<=55,Y,E,Professional,1Low,Midwest,1,E
Y,F,1. HS,357116,5_<=55,Y,C,Sales/Service,2Med,Midwest,2,H
Y,M,4. Grad,5745,5_<=55,Y,C,Professional,2Med,South,1,J
N,F,1. HS,148681,5_<=55,Y,G,Professional,1Low,South,2,E
N,M,2. Some College,156469,5_<=55,Y,F,Sales/Service,2Med,South,3,F
N,M,1. HS,,4_<=45,Y,C,Sales/Service,1Low,South,2,F
Y,F,1. HS,,5_<=55,Y,B,Sales/Service,1Low,Northeast,2,D
N,M,2. Some College,271,1_Unk,Y,E,Blue Collar,2Med,South,8,D
Y,M,2. Some College,296687,5_<=55,Y,B,Sales/Service,1Low,Midwest,3,G
Y,M,1. HS,,5_<=55,Y,E,Blue Collar,1Low,South,4,E
Y,M,4. Grad,361335,6_<=65,Y,B,Professional,1Low,Midwest,1,J
Y,M,2. Some College,295444,5_<=55,Y,E,Professional,1Low,Midwest,1,G
Y,F,1. HS,34631,3_<=35,N,C,Sales/Service,3High,Northeast,4,F
N,M,. <HS,668,1_Unk,N,F,Blue Collar,1Low,Midwest,9,A
Y,M,4. Grad,896928,5_<=55,N,B,Professional,2Med,Northeast,5,K
N,M,1. HS,217455,6_<=65,N,B,Blue Collar,1Low,Northeast,3,E
Y,U,3. Bach,5232,1_Unk,Y,B,Professional,3High,South,3,G
Y,M,4. Grad,66357,6_<=65,N,C,Professional,2Med,South,2,J
Y,F,3. Bach,132448,3_<=35,Y,C,Professional,1Low,South,1,I
N,F,. <HS,692259,1_Unk,N,G,Sales/Service,1Low,Northeast,3,E
Y,F,4. Grad,578332,6_<=65,Y,B,Professional,1Low,Midwest,1,I
Y,F,2. Some College,,4_<=45,Y,J,Blue Collar,1Low,Midwest,6,E
N,U,1. HS,225728,3_<=35,N,E,Blue Collar,1Low,West,6,E
Y,M,4. Grad,177922,6_<=65,N,B,Professional,1Low,Northeast,1,L
N,M,1. HS,11838,1_Unk,N,G,Blue Collar,1Low,South,8,D
N,F,2. Some College,15756,1_Unk,N,G,Sales/Service,1Low,South,8,B
N,U,2. Some College,13332,5_<=55,N,G,Blue Collar,1Low,West,3,E
Y,M,2. Some College,,1_Unk,N,G,Sales/Service,1Low,Northeast,9,B
N,F,1. HS,,7_>65,N,D,Retired,1Low,Midwest,8,B
Y,M,2. Some College,,4_<=45,Y,C,Blue Collar,1Low,Midwest,1,G
N,M,3. Bach,,4_<=45,Y,E,Sales/Service,1Low,Midwest,6,E
N,M,1. HS,,1_Unk,N,G,Sales/Service,1Low,Midwest,5,B
Y,F,. <HS,78761,5_<=55,Y,F,Sales/Service,2Med,South,2,E
Y,M,3. Bach,19647,4_<=45,Y,C,Sales/Service,2Med,Midwest,3,G
N,F,1. HS,264259,6_<=65,Y,B,Sales/Service,1Low,South,1,G
Y,F,4. Grad,945673,5_<=55,Y,B,Sales/Service,1Low,West,1,J
N,F,2. Some College,1199,1_Unk,N,E,Sales/Service,1Low,South,9,F
N,M,2. Some College,12318,3_<=35,Y,I,Blue Collar,1Low,South,3,D
N,M,3. Bach,,5_<=55,Y,E,Professional,1Low,South,2,E
Y,M,3. Bach,8289,6_<=65,Y,B,Retired,1Low,South,3,E
N,M,. <HS,9971,2_<=25,N,G,Blue Collar,1Low,Midwest,7,C
N,F,1. HS,8739,7_>65,Y,E,Retired,3High,West,1,I
N,F,1. HS,,7_>65,N,G,Retired,1Low,South,3,E
N,M,. <HS,263235,1_Unk,N,G,Farm,1Low,West,8,B
N,F,4. Grad,196758,3_<=35,Y,B,Professional,1Low,Northeast,1,J
N,F,3. Bach,25683,1_Unk,N,E,Others,1Low,South,1,E
N,M,4. Grad,,1_Unk,Y,B,Sales/Service,1Low,Northeast,7,E
N,F,2. Some College,,3_<=35,N,G,Blue Collar,1Low,Northeast,8,D
Y,F,4. Grad,244596,5_<=55,N,B,Professional,1Low,South,4,E
Y,F,2. Some College,49595,4_<=45,Y,F,Sales/Service,1Low,West,5,F
Y,M,3. Bach,1791,5_<=55,Y,C,Professional,3High,South,1,L
Y,M,3. Bach,137994,3_<=35,Y,C,Sales/Service,2Med,Northeast,1,L
N,M,2. Some College,553284,6_<=65,N,E,Professional,1Low,West,8,F
N,F,1. HS,,6_<=65,N,B,Others,1Low,Midwest,3,D
Y,F,2. Some College,24811,4_<=45,Y,F,Professional,2Med,West,4,E
N,F,2. Some College,,6_<=65,N,J,Sales/Service,1Low,South,3,C
Y,M,4. Grad,349628,4_<=45,Y,B,Professional,1Low,South,2,F
N,F,1. HS,698516,7_>65,N,E,Retired,1Low,South,1,G
Y,M,3. Bach,,4_<=45,Y,A,Others,1Low,South,1,F
Y,F,3. Bach,44554,5_<=55,Y,E,Sales/Service,1Low,South,1,H
Y,M,3. Bach,528682,6_<=65,Y,B,Professional,1Low,South,1,E
Y,M,4. Grad,,6_<=65,Y,B,Professional,1Low,West,3,J
N,M,3. Bach,42864,4_<=45,Y,B,Professional,1Low,Northeast,2,I
N,F,2. Some College,,3_<=35,Y,A,Professional,1Low,West,5,B
Y,M,2. Some College,132435,4_<=45,Y,C,Blue Collar,1Low,Midwest,6,F
